"No.","Time","Source","Destination","Protocol","Length","Info"
"64","6.657254","35.190.80.1","192.168.0.106","QUIC","1292","Initial, SCID=e5fcade01e70b9df, PKN: 2, ACK, PADDING"
"65","6.657254","35.190.80.1","192.168.0.106","QUIC","1292","Protected Payload (KP0)"
"66","6.657508","192.168.0.106","35.190.80.1","QUIC","1292","Initial, DCID=a5fcade01e70b9df, PKN: 4, PING, PADDING, PING, PADDING, PING, PING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, PING, PING, PADDING, PING, CRYPTO, PING, PADDING, CRYPTO, PING"
"67","6.660434","192.168.0.106","35.190.80.1","QUIC","1292","Handshake, DCID=e5fcade01e70b9df"
"68","6.660682","192.168.0.106","35.190.80.1","QUIC","113","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"69","6.661220","192.168.0.106","35.190.80.1","QUIC","447","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"70","6.663437","35.190.80.1","192.168.0.106","TCP","66","443  >  49567 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"71","6.663669","192.168.0.106","35.190.80.1","TCP","54","49567  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"72","6.664339","192.168.0.106","35.190.80.1","TCP","1466","49567  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1412 [TCP PDU reassembled in 73]"
"73","6.664339","192.168.0.106","35.190.80.1","TLSv1.3","728","Client Hello (SNI=a.nel.cloudflare.com)"
"74","6.677016","35.190.80.1","192.168.0.106","QUIC","1292","Protected Payload (KP0)"
"75","6.677455","192.168.0.106","35.190.80.1","QUIC","210","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"76","6.679946","35.190.80.1","192.168.0.106","QUIC","626","Protected Payload (KP0)"
"77","6.680075","35.190.80.1","192.168.0.106","QUIC","163","Protected Payload (KP0)"
"78","6.680225","35.190.80.1","192.168.0.106","QUIC","69","Protected Payload (KP0)"
"79","6.680345","192.168.0.106","35.190.80.1","QUIC","75","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"80","6.680551","192.168.0.106","35.190.80.1","QUIC","75","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"81","6.680773","192.168.0.106","35.190.80.1","QUIC","75","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"82","6.683648","35.190.80.1","192.168.0.106","TCP","54","443  >  49567 [ACK] Seq=1 Ack=2087 Win=267776 Len=0"
"83","6.700565","35.190.80.1","192.168.0.106","QUIC","67","Protected Payload (KP0)"
"84","6.905012","192.168.0.106","35.190.80.1","QUIC","71","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"85","6.968797","35.190.80.1","192.168.0.106","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"86","6.968797","35.190.80.1","192.168.0.106","QUIC","217","Protected Payload (KP0)"
"87","6.969937","192.168.0.106","35.190.80.1","TLSv1.3","118","Change Cipher Spec, Application Data"
"88","6.971018","192.168.0.106","35.190.80.1","QUIC","699","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"89","6.971953","35.190.80.1","192.168.0.106","TCP","266","[TCP Spurious Retransmission] 443  >  49567 [PSH, ACK] Seq=1 Ack=2087 Win=267776 Len=212"
"90","6.972038","192.168.0.106","35.190.80.1","TCP","66","[TCP Dup ACK 87#1] 49567  >  443 [ACK] Seq=2151 Ack=213 Win=65280 Len=0 SLE=1 SRE=213"
"91","6.989769","35.190.80.1","192.168.0.106","TCP","54","443  >  49567 [ACK] Seq=213 Ack=2151 Win=267776 Len=0"
"92","6.990054","35.190.80.1","192.168.0.106","TLSv1.3","672","Application Data, Application Data"
"93","6.990292","35.190.80.1","192.168.0.106","QUIC","69","Protected Payload (KP0)"
"94","7.020732","192.168.0.106","35.190.80.1","QUIC","74","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"95","7.037137","192.168.0.106","35.190.80.1","TCP","54","49567  >  443 [ACK] Seq=2151 Ack=831 Win=64512 Len=0"
"96","7.195015","192.168.0.106","35.190.80.1","QUIC","71","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"97","7.260456","35.190.80.1","192.168.0.106","QUIC","109","Protected Payload (KP0)"
"98","7.295973","192.168.0.106","35.190.80.1","QUIC","78","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"99","7.363012","35.190.80.1","192.168.0.106","QUIC","66","Protected Payload (KP0)"
"100","7.363012","35.190.80.1","192.168.0.106","QUIC","109","Protected Payload (KP0)"
"101","7.363495","192.168.0.106","35.190.80.1","QUIC","75","Protected Payload (KP0), DCID=e5fcade01e70b9df"
"102","7.407509","35.190.80.1","192.168.0.106","QUIC","66","Protected Payload (KP0)"
"103","9.113034","31.13.79.54","192.168.0.106","TCP","653","5222  >  65286 [PSH, ACK] Seq=201 Ack=49 Win=1081 Len=599 [TCP PDU reassembled in 3835]"
"104","9.113034","20.195.84.16","192.168.0.106","TLSv1.2","81","Application Data"
"105","9.159153","192.168.0.106","31.13.79.54","TCP","123","65286  >  5222 [PSH, ACK] Seq=49 Ack=800 Win=1023 Len=69 [TCP PDU reassembled in 3832]"
"106","9.167928","192.168.0.106","20.195.84.16","TCP","54","65261  >  443 [ACK] Seq=1 Ack=28 Win=251 Len=0"
"107","9.492149","192.168.0.106","31.13.79.54","TCP","123","[TCP Retransmission] 65286  >  5222 [PSH, ACK] Seq=49 Ack=800 Win=1023 Len=69 [TCP PDU reassembled in 3832]"
"108","9.523068","31.13.79.54","192.168.0.106","TCP","54","5222  >  65286 [ACK] Seq=800 Ack=118 Win=1081 Len=0"
"109","9.530438","31.13.79.54","192.168.0.106","TCP","66","[TCP Dup ACK 108#1] 5222  >  65286 [ACK] Seq=800 Ack=118 Win=1081 Len=0 SLE=49 SRE=118"
"110","11.325888","192.168.0.106","20.195.84.23","TLSv1.2","85","Application Data"
"111","11.470727","20.195.84.23","192.168.0.106","TCP","54","443  >  65251 [ACK] Seq=1 Ack=32 Win=501 Len=0"
"112","11.981366","31.13.79.54","192.168.0.106","TCP","415","5222  >  65286 [PSH, ACK] Seq=800 Ack=118 Win=1081 Len=361 [TCP PDU reassembled in 3835]"
"113","11.992256","192.168.0.106","31.13.79.54","TCP","123","65286  >  5222 [PSH, ACK] Seq=118 Ack=1161 Win=1022 Len=69 [TCP PDU reassembled in 3832]"
"114","12.079576","31.13.79.54","192.168.0.106","TCP","54","5222  >  65286 [ACK] Seq=1161 Ack=187 Win=1081 Len=0"
"115","12.691941","35.244.162.2","192.168.0.106","TLSv1.2","78","Application Data"
"116","12.692460","192.168.0.106","35.244.162.2","TLSv1.2","82","Application Data"
"117","12.767534","192.168.0.106","192.168.0.1","DNS","91","Standard query 0x028d A teams.events.data.microsoft.com"
"118","12.768050","192.168.0.106","192.168.0.1","DNS","91","Standard query 0x62a1 HTTPS teams.events.data.microsoft.com"
"119","12.790370","35.244.162.2","192.168.0.106","TCP","54","443  >  65260 [ACK] Seq=49 Ack=57 Win=991 Len=0"
"120","12.794852","192.168.0.1","192.168.0.106","DNS","261","Standard query response 0x62a1 HTTPS teams.events.data.microsoft.com CNAME teams-events-data.trafficmanager.net CNAME onedscolprdaue01.australiaeast.cloudapp.azure.com SOA ns1-06.azure-dns.com"
"121","12.794852","192.168.0.1","192.168.0.106","DNS","217","Standard query response 0x028d A teams.events.data.microsoft.com CNAME teams-events-data.trafficmanager.net CNAME onedscolprdaue01.australiaeast.cloudapp.azure.com A 13.70.79.200"
"122","12.797001","192.168.0.106","13.70.79.200","TCP","66","49568  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"123","13.000939","13.70.79.200","192.168.0.106","TCP","66","443  >  49568 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"124","13.001185","192.168.0.106","13.70.79.200","TCP","54","49568  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"125","13.002835","192.168.0.106","13.70.79.200","TCP","1494","49568  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1440 [TCP PDU reassembled in 126]"
"126","13.002835","192.168.0.106","13.70.79.200","TLSv1.3","355","Client Hello (SNI=teams.events.data.microsoft.com)"
"127","13.211855","13.70.79.200","192.168.0.106","TCP","66","[TCP Dup ACK 123#1] 443  >  49568 [ACK] Seq=1 Ack=1 Win=4194560 Len=0 SLE=1441 SRE=1742"
"128","13.211855","13.70.79.200","192.168.0.106","TCP","54","443  >  49568 [ACK] Seq=1 Ack=1742 Win=4194560 Len=0"
"129","13.211855","13.70.79.200","192.168.0.106","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"130","13.213495","192.168.0.106","13.70.79.200","TLSv1.3","641","Change Cipher Spec, Client Hello (SNI=teams.events.data.microsoft.com)"
"131","13.416533","13.70.79.200","192.168.0.106","TLSv1.3","1494","Server Hello"
"132","13.416533","13.70.79.200","192.168.0.106","TCP","1494","443  >  49568 [ACK] Seq=1540 Ack=2329 Win=4194048 Len=1440 [TCP PDU reassembled in 135]"
"133","13.416533","13.70.79.200","192.168.0.106","TCP","1494","443  >  49568 [ACK] Seq=2980 Ack=2329 Win=4194048 Len=1440 [TCP PDU reassembled in 135]"
"134","13.416533","13.70.79.200","192.168.0.106","TCP","1494","443  >  49568 [ACK] Seq=4420 Ack=2329 Win=4194048 Len=1440 [TCP PDU reassembled in 135]"
"135","13.416533","13.70.79.200","192.168.0.106","TLSv1.3","659","Application Data"
"136","13.416807","192.168.0.106","13.70.79.200","TCP","54","49568  >  443 [ACK] Seq=2329 Ack=6465 Win=65280 Len=0"
"137","13.418913","192.168.0.106","13.70.79.200","TLSv1.3","128","Application Data"
"138","13.419549","192.168.0.106","13.70.79.200","TLSv1.3","146","Application Data"
"139","13.420392","192.168.0.106","13.70.79.200","TLSv1.3","669","Application Data"
"140","13.420561","192.168.0.106","13.70.79.200","TCP","1494","49568  >  443 [ACK] Seq=3110 Ack=6465 Win=65280 Len=1440 [TCP PDU reassembled in 142]"
"141","13.420561","192.168.0.106","13.70.79.200","TCP","1494","49568  >  443 [ACK] Seq=4550 Ack=6465 Win=65280 Len=1440 [TCP PDU reassembled in 142]"
"142","13.420561","192.168.0.106","13.70.79.200","TLSv1.3","1106","Application Data"
"143","13.618628","13.70.79.200","192.168.0.106","TCP","54","443  >  49568 [ACK] Seq=6465 Ack=2495 Win=4193792 Len=0"
"144","13.618628","13.70.79.200","192.168.0.106","TCP","54","443  >  49568 [ACK] Seq=6465 Ack=5990 Win=4194560 Len=0"
"145","13.618628","13.70.79.200","192.168.0.106","TCP","54","443  >  49568 [ACK] Seq=6465 Ack=7042 Win=4193536 Len=0"
"146","13.618812","13.70.79.200","192.168.0.106","TLSv1.3","157","Application Data"
"147","13.618812","13.70.79.200","192.168.0.106","TLSv1.3","116","Application Data"
"148","13.618932","192.168.0.106","13.70.79.200","TCP","54","49568  >  443 [ACK] Seq=7042 Ack=6630 Win=65280 Len=0"
"149","13.619528","192.168.0.106","13.70.79.200","TLSv1.3","85","Application Data"
"150","13.823425","13.70.79.200","192.168.0.106","TLSv1.3","381","Application Data, Application Data"
"151","13.869169","192.168.0.106","13.70.79.200","TCP","54","49568  >  443 [ACK] Seq=7073 Ack=6957 Win=65024 Len=0"
"152","13.921973","13.70.79.200","192.168.0.106","TCP","54","443  >  49568 [ACK] Seq=6957 Ack=7073 Win=4193536 Len=0"
"153","14.340438","20.195.84.23","192.168.0.106","TLSv1.2","81","Application Data"
"154","14.391216","192.168.0.106","20.195.84.23","TCP","54","65251  >  443 [ACK] Seq=32 Ack=28 Win=253 Len=0"
"155","14.811088","192.168.0.106","20.195.84.16","TLSv1.2","85","Application Data"
"156","15.050968","20.195.84.16","192.168.0.106","TCP","54","443  >  65261 [ACK] Seq=28 Ack=32 Win=501 Len=0"
"157","15.665959","3.233.158.26","192.168.0.106","TLSv1.2","528","Application Data, Application Data"
"158","15.665959","3.233.158.26","192.168.0.106","TCP","54","443  >  49565 [FIN, ACK] Seq=475 Ack=2 Win=70 Len=0"
"159","15.666174","192.168.0.106","3.233.158.26","TCP","54","49565  >  443 [ACK] Seq=2 Ack=476 Win=254 Len=0"
"160","15.668149","3.233.158.26","192.168.0.106","TLSv1.2","93","Application Data"
"161","15.668600","192.168.0.106","3.233.158.26","TCP","54","49564  >  443 [FIN, ACK] Seq=2 Ack=40 Win=252 Len=0"
"162","15.979414","3.233.158.26","192.168.0.106","TLSv1.2","78","Application Data"
"163","15.979414","3.233.158.26","192.168.0.106","TCP","54","443  >  49564 [FIN, ACK] Seq=64 Ack=3 Win=78 Len=0"
"164","15.979627","192.168.0.106","3.233.158.26","TCP","54","49564  >  443 [RST, ACK] Seq=3 Ack=64 Win=0 Len=0"
"165","16.275308","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"166","16.322314","192.168.0.106","142.250.183.35","UDP","149","49890  >  443 Len=107"
"167","16.482059","142.250.183.35","192.168.0.106","UDP","70","443  >  49890 Len=28"
"168","16.482059","142.250.183.35","192.168.0.106","UDP","157","443  >  49890 Len=115"
"169","16.482059","142.250.183.35","192.168.0.106","UDP","64","443  >  49890 Len=22"
"170","16.482830","192.168.0.106","142.250.183.35","UDP","77","49890  >  443 Len=35"
"171","16.519137","192.168.0.106","142.250.183.35","UDP","74","49890  >  443 Len=32"
"172","16.583044","142.250.183.35","192.168.0.106","UDP","66","443  >  49890 Len=24"
"173","16.590198","31.13.79.54","192.168.0.106","TCP","254","5222  >  65286 [PSH, ACK] Seq=1161 Ack=187 Win=1081 Len=200 [TCP PDU reassembled in 3835]"
"174","16.597766","142.250.183.35","192.168.0.106","UDP","64","443  >  49890 Len=22"
"175","16.609767","192.168.0.106","142.250.183.35","UDP","75","49890  >  443 Len=33"
"176","16.640544","192.168.0.106","31.13.79.54","TCP","54","65286  >  5222 [ACK] Seq=187 Ack=1361 Win=1021 Len=0"
"177","16.643856","192.168.0.106","31.13.79.54","TCP","102","65286  >  5222 [PSH, ACK] Seq=187 Ack=1361 Win=1021 Len=48 [TCP PDU reassembled in 3832]"
"178","16.650974","192.168.0.106","192.168.0.1","DNS","74","Standard query 0x6d3d A www.google.com"
"179","16.651526","192.168.0.106","192.168.0.1","DNS","74","Standard query 0x1135 HTTPS www.google.com"
"180","16.940354","192.168.0.106","192.168.0.1","DNS","79","Standard query 0xfe60 A clients4.google.com"
"181","16.940808","192.168.0.106","192.168.0.1","DNS","79","Standard query 0xca6f HTTPS clients4.google.com"
"182","16.977316","192.168.0.106","31.13.79.54","TCP","102","[TCP Retransmission] 65286  >  5222 [PSH, ACK] Seq=187 Ack=1361 Win=1021 Len=48 [TCP PDU reassembled in 3832]"
"183","16.993949","192.168.0.1","192.168.0.106","DNS","90","Standard query response 0x6d3d A www.google.com A 142.250.192.36"
"184","16.993949","192.168.0.1","192.168.0.106","DNS","99","Standard query response 0x1135 HTTPS www.google.com HTTPS"
"185","16.994230","31.13.79.54","192.168.0.106","TCP","54","5222  >  65286 [ACK] Seq=1361 Ack=235 Win=1081 Len=0"
"186","16.994230","192.168.0.1","192.168.0.106","DNS","153","Standard query response 0xca6f HTTPS clients4.google.com CNAME clients.l.google.com SOA ns1.google.com"
"187","16.994230","192.168.0.1","192.168.0.106","DNS","119","Standard query response 0xfe60 A clients4.google.com CNAME clients.l.google.com A 142.250.207.142"
"188","16.996986","192.168.0.106","142.250.192.36","QUIC","1292","Initial, DCID=a8fd3509a05f3789, PKN: 1, PING, PING, PADDING, PING, CRYPTO, CRYPTO, PADDING, PING, PING, CRYPTO, PADDING, PING, PADDING, PING, PING, PADDING, CRYPTO"
"189","16.997121","192.168.0.106","142.250.192.36","QUIC","1292","Initial, DCID=a8fd3509a05f3789, PKN: 2, CRYPTO"
"190","16.997231","192.168.0.106","142.250.192.36","QUIC","1292","Initial, DCID=a8fd3509a05f3789, PKN: 3, PING, CRYPTO, PING, PADDING, PING, PING, PING, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, PING, CRYPTO, PING"
"191","16.997581","192.168.0.106","142.250.192.36","QUIC","118","0-RTT, DCID=a8fd3509a05f3789"
"192","16.998319","192.168.0.106","142.250.207.142","QUIC","1292","Initial, DCID=b5dd43b3657090a4, PKN: 1, CRYPTO, CRYPTO, PING"
"193","16.998410","192.168.0.106","142.250.207.142","QUIC","1292","Initial, DCID=b5dd43b3657090a4, PKN: 2, CRYPTO, PING"
"194","16.998660","192.168.0.106","142.250.207.142","QUIC","123","0-RTT, DCID=b5dd43b3657090a4"
"195","16.999092","192.168.0.106","142.250.192.36","QUIC","1288","0-RTT, DCID=a8fd3509a05f3789"
"196","16.999200","192.168.0.106","142.250.192.36","QUIC","1292","0-RTT, DCID=a8fd3509a05f3789"
"197","16.999332","192.168.0.106","142.250.192.36","QUIC","456","0-RTT, DCID=a8fd3509a05f3789"
"198","16.999411","192.168.0.106","142.250.192.36","QUIC","114","0-RTT, DCID=a8fd3509a05f3789"
"199","17.004109","31.13.79.54","192.168.0.106","TCP","66","[TCP Dup ACK 185#1] 5222  >  65286 [ACK] Seq=1361 Ack=235 Win=1081 Len=0 SLE=187 SRE=235"
"200","17.020457","142.250.192.36","192.168.0.106","QUIC","82","Initial, SCID=e8fd3509a05f3789, PKN: 1, ACK"
"201","17.020457","142.250.192.36","192.168.0.106","QUIC","82","Initial, SCID=e8fd3509a05f3789, PKN: 2, ACK"
"202","17.026338","142.250.192.36","192.168.0.106","QUIC","1292","Initial, SCID=e8fd3509a05f3789, PKN: 3, ACK, PADDING"
"203","17.026338","142.250.192.36","192.168.0.106","QUIC","1292","Initial, SCID=e8fd3509a05f3789, PKN: 4, ACK, PADDING"
"204","17.026338","142.250.207.142","192.168.0.106","QUIC","82","Initial, SCID=f5dd43b3657090a4, PKN: 1, ACK"
"205","17.026338","142.250.207.142","192.168.0.106","QUIC","1292","Initial, SCID=f5dd43b3657090a4, PKN: 2, ACK, PADDING"
"206","17.042783","192.168.0.106","142.250.192.36","QUIC","1292","Initial, DCID=e8fd3509a05f3789, PKN: 10, PADDING, PING, PADDING"
"207","17.060600","192.168.0.106","142.250.207.142","QUIC","1292","Initial, DCID=f5dd43b3657090a4, PKN: 5, PADDING, PING, PADDING"
"208","17.095081","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"209","17.134420","192.168.0.106","142.250.192.36","QUIC","1292","Initial, DCID=e8fd3509a05f3789, PKN: 12, PADDING, PING, PADDING"
"210","17.168673","192.168.0.106","142.250.207.142","QUIC","1292","Initial, DCID=f5dd43b3657090a4, PKN: 7, PADDING, PING, PADDING"
"211","17.303681","142.250.192.36","192.168.0.106","QUIC","1292","Initial, SCID=e8fd3509a05f3789, PKN: 5, ACK, PADDING"
"212","17.303681","142.250.192.36","192.168.0.106","QUIC","1292","Initial, SCID=e8fd3509a05f3789, PKN: 6, CRYPTO, PADDING"
"213","17.303871","142.250.192.36","192.168.0.106","QUIC","451","Protected Payload (KP0)"
"214","17.303871","142.250.192.36","192.168.0.106","QUIC","883","Protected Payload (KP0)"
"215","17.303871","142.250.192.36","192.168.0.106","QUIC","225","Protected Payload (KP0)"
"216","17.303871","142.250.192.36","192.168.0.106","QUIC","66","Protected Payload (KP0)"
"217","17.304156","142.250.207.142","192.168.0.106","QUIC","1292","Initial, SCID=f5dd43b3657090a4, PKN: 3, CRYPTO, PADDING"
"218","17.304156","142.250.207.142","192.168.0.106","QUIC","340","Protected Payload (KP0)"
"219","17.304156","142.250.207.142","192.168.0.106","QUIC","994","Protected Payload (KP0)"
"220","17.304156","142.250.207.142","192.168.0.106","QUIC","67","Protected Payload (KP0)"
